date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:05	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1535725046-ssl-df	https://alamin-portfolio.netlify.app/blog/js/plugins/jquery.stellar.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/jquery.stellar.37.delayed	(from https://alamin-portfolio.netlify.app/blog/)
16:51:06	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:%22497125aa493d75b05b9b3140b6f4d71a-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/plugins/isotope.pkgd.min.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/isotope.pkgd.min.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:07	5594/5594	---MCZ	200	added ('OK')	application/javascript	etag:%22156c7ffda9ca1d17e1dc34393bfce304-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/plugins/imagesloaded.pkgd.min.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/imagesloaded.pkgd.min.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:08	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:%2297bf7428ab9c1805bc038d6b0a9b1a7b-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/plugins/magnific-popup.min.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/magnific-popup.min.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:09	1238/1238	---M-Z	200	added ('OK')	application/javascript	etag:%226ebe3da9a3909872180ee7ee2e4b7cb3-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/smooth-scroll.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/smooth-scroll.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:10	9028/9028	---MCZ	200	added ('OK')	application/javascript	etag:%229eb8c3424c177ba8e0bdb3dfbde0146c-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/plugins/jquery.waypoints.min.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/jquery.waypoints.min.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:11	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%2223f0cd337d2bd67fbae612707e47b785-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/plugins/jquery.counterup.min.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/jquery.counterup.min.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:12	23364/23364	---MCZ	200	added ('OK')	application/javascript	etag:%2281b5c1a4f3cb6cd3788cae74929a4dad-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/plugins/particles.min.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/particles.min.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:13	3737/3737	---MCZ	200	added ('OK')	application/javascript	etag:%225ea3223a74ddc52b726494b98ae1a999-ssl-df%22	https://alamin-portfolio.netlify.app/blog/js/plugins/app.js	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/app.js	(from https://alamin-portfolio.netlify.app/blog/)
16:51:14	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1535725046-ssl-df	https://alamin-portfolio.netlify.app/blog/js/plugins/animated-headlines..j	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/js/plugins/animated-headlines..40.delayed	(from https://alamin-portfolio.netlify.app/blog/)
